RA;Código_Turma;Nome_Disciplina
11202210015;DA1NHZ5014-15SA;Questões Atuais no Ensino de Ciências A1-Matutino (Santo André)
11202210015;DA1MCZD008-18SA;Seminários de Modalidades Diversas em Educação Matemática A1-Matutino (Santo André)
11045315;NA1ESTB002-17SB;Bases Biológicas para Engenharia I
11045315;NA1ESTB007-17SB;Biomecânica I
11045315;NB2ESTO902-17SA;Engenharia Unificada I
11045315;NA1ESZB031-17SB;Instalações Hospitalares
11202321974;NA2BIS0003-15SA;Bases Matemáticas
11202321974;DA2BCL0306-15SB;Biodiversidade: Interações entre organismos e ambiente A2-Matutino (São Bernardo)
11202321974;DA2BCN0404-15SB;Geometria Analítica A2-Matutino (São Bernardo)
11202321974;DA2BCM0504-15SB;Natureza da Informação A2-Matutino (São Bernardo)
11202321479;NA2BIR0603-15SB;Ciência, Tecnologia e Sociedade
11202321479;NA1BHO0101-15SB;Estado e Relações de Poder
11202321479;NA1BHO1335-15SB;Formação do Sistema Internacional
11202321479;NABHO0002-19SB;Introdução ao Pensamento Econômico
11202321479;NA1BHP0202-15SB;Pensamento Crítico
11202321693;NA1ESTO001-17SA;Circuitos Elétricos e Fotônica
11202321693;NA3BCJ0204-15SA;Fenômenos Mecânicos
11202321693;NA3BCN0402-15SA;Funções de Uma Variável
11202321693;NA3BCM0504-15SA;Natureza da Informação
11202230859;NB2BIR0004-15SB;Bases Epistemológicas da Ciência Moderna
11202230859;NB1BHO0102-15SB;Desenvolvimento e Sustentabilidade
11202230859;NBBHQ0004-19SB;Estudos de Gênero
11202230859;NANHZ2106-18SB;Filosofia da Ciência
11202230859;NB1BHO1102-19SB;Introdução à Economia
11035614;NA1ESTA008-17SB;Sistemas de Controle II
11035614;NAESTI003-17SB;Transformadas em Sinais e Sistemas Lineares
11202230357;DA1BCJ0203-15SB;Fenômenos Eletromagnéticos A1-Matutino (São Bernardo)
11202230357;DB1BCN0405-15SB;Introdução às Equações Diferenciais Ordinárias B1-Matutino (São Bernardo)
11202230357;DB2BCL0307-15SB;Transformações Químicas B2-Matutino (São Bernardo)
11201812123;NA1ESTG002-17SB;Desenvolvimento Integrado do Produto
11201812123;NA1ESTG004-17SB;Elaboração, Análise e Avaliação de Projetos
11201812123;NA1ESTG022-17SB;Sistemas CAM
11201722779;DAESTG011-17SB;Estatística Aplicada a Sistemas de Gestão A-Matutino (São Bernardo)
11201722779;NA2ESTO004-17SB;Instrumentação e Controle
11201722779;DA1ESTG017-17SB;Introdução aos Processos de Fabricação Metal - Mecânico A1-Matutino (São Bernardo)
11201920575;NB3BCJ0204-15SA;Fenômenos Mecânicos
11201920575;NA1MCZD009-18SA;Seminários de Pesquisa em Educação Matemática I
13201910061;NA1ESHR030-21SB;Estudos Estratégicos e Defesa
13201910061;NA1ESZG041-17SB;Gestão da Inovação
11201922339;NA1ESHP013-22SB;Direito Constitucional
11201922339;DA1ESHP007-13SB;Federalismo e Políticas Públicas A1-Matutino (São Bernardo)
11201922339;NA1ESHR008-21SB;Integração Regional - Teorias e Experiências
11201922339;DA1ESHR017-21SB;Organizações Internacionais e Multilateralismo A1-Matutino (São Bernardo)
11201922339;NA1ESHP018-14SB;Políticas Sociais
11201922339;DA1ESHR002-21SB;Temas de Direito Internacional Público A1-Matutino (São Bernardo)
11202321665;DB3BCL0306-15SA;Biodiversidade: Interações entre organismos e ambiente B3-Matutino (Santo André)
11202321665;DB1BCJ0204-15SA;Fenômenos Mecânicos B1-Matutino (Santo André)
11202321665;DB3BCN0402-15SA;Funções de Uma Variável B3-Matutino (Santo André)
11202321665;DB2BCN0404-15SA;Geometria Analítica B2-Matutino (Santo André)
11202321665;DB2BCM0504-15SA;Natureza da Informação B2-Matutino (Santo André)
11201920378;NB1BHO0102-15SB;Desenvolvimento e Sustentabilidade
11201920378;DA1NHZ5020-15SA;Educação inclusiva A1-Matutino (Santo André)
11201920378;DA1ESTO016-17SB;Fenômenos de Transporte A1-Matutino (São Bernardo)
11201920378;NB1BCN0405-15SB;Introdução às Equações Diferenciais Ordinárias
11201920378;DA1ESZG032-17SB;Modelos e Ferramentas de Gestão Ambiental A1-Matutino (São Bernardo)
11201920378;NA1BCM0505-22SB;Processamento da Informação
11201920378;DA3BCL0307-15SB;Transformações Químicas A3-Matutino (São Bernardo)
11201810101;DA1BIR0603-15SA;Ciência, Tecnologia e Sociedade A1-Matutino (Santo André)
11201810101;DA2BCJ0203-15SA;Fenômenos Eletromagnéticos A2-Matutino (Santo André)
11201810101;NA2BCN0402-15SB;Funções de Uma Variável
11201810101;DA1BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias A1-Matutino (Santo André)
11201810101;NA2MCTC023-15SB;Neuroanatomia
