RA;Código_Turma;Nome_Disciplina
11005613 NA1MCZA030-17SA;Vida Artificial na Computação A1-Noturno (Santo André);
11005613 NA2MCTA028-15SA;Programação Estruturada A2-Noturno (Santo André);
11005616 DA1ESZU024-17SA;Clima Urbano A1-Matutino (Santo André);
11005616 DA1NHT1030-15SA;Geologia e Paleontologia A1-Matutino (Santo André);
11005913 DA1NHT1030-15SA;Geologia e Paleontologia A1-Matutino (Santo André);
11006014 DA1ESTA016-17SA;Máquinas Elétricas A1-Matutino (Santo André);
11006014 DA1ESTA017-17SA;Laboratório de Máquinas Elétricas A1-Matutino (Santo André);
11006014 DA1ESTI013-17SA;Sistemas Microprocessados A1-Matutino (Santo André);
11006014 DA1ESTO017-17SA;Métodos Experimentais em Engenharia A1-Matutino (Santo André);
11006111 DA1MCTA014-15SA;Inteligência Artificial A1-Matutino (Santo André);
11006111 DA1NHZ3094-22SA;História da Física no Brasil A1-Matutino (Santo André);
11006111 NA1ESTE028-17SA;Engenharia Nuclear A1-Noturno (Santo André);
11006111 NA1ESZA006-17SA;Teoria de Controle Ótimo A1-Noturno (Santo André);
11006111 NA1ESZE090-17SA;Refrigeração e Condicionamento de Ar A1-Noturno (Santo André);
11006216 DA1MCTA017-17SA;Programação Matemática A1-Matutino (Santo André);
11006216 NA1MCZA006-17SA;Computação Evolutiva e Conexionista A1-Noturno (Santo André);
11006312 NB1ESTO008-17SA;Mecânica dos Sólidos I B1-Noturno (Santo André);
11006316 DA1NHI5011-13SA;Políticas Educacionais A1-Matutino (Santo André);
11006316 DA1NHZ5020-15SA;Educação inclusiva A1-Matutino (Santo André);
11006316 NB1NHT3027-15SA;Laboratório de Física I B1-Noturno (Santo André);
11006316 NC1NHT5013-15SA;Práticas de Ensino de Ciências e Matemática no Ensino Fundamental C1-Noturno (Santo André);
11006413 DA2MCTA002-17SA;Algoritmos e Estruturas de Dados II A2-Matutino (Santo André);
11006414 DA2ESTE020-17SA;Instalações Elétricas II A2-Matutino (Santo André);
11006510 DA1NHT1084-16SA;Práticas de Ensino de Biologia II A1-Matutino (Santo André);
11006514 DA1ESTI007-17SA;Comunicação Digital A1-Matutino (Santo André);
11006514 DA1ESZI014-17SA;Sistemas Inteligentes A1-Matutino (Santo André);
11006514 DA2ESTO903-17SB;Engenharia Unificada II A2-Matutino (São Bernardo);
11006514 DB1ESTO008-17SA;Mecânica dos Sólidos I B1-Matutino (Santo André);
11006515 DA1ESTS015-17SB;Combustão I A1-Matutino (São Bernardo);
11006715 NA1NHT1049-15SA;Trabalho de Conclusão de Curso em Biologia A1-Noturno (Santo André);
11006812 NA1ESZA006-17SA;Teoria de Controle Ótimo A1-Noturno (Santo André);
11007013 DA2MCTA037-17SA;Banco de Dados A2-Matutino (Santo André);
11007015 DA1MCTA017-17SA;Programação Matemática A1-Matutino (Santo André);
11007015 DA2MCTA002-17SA;Algoritmos e Estruturas de Dados II A2-Matutino (Santo André);
11007015 DB1BCS0002-15SA;Projeto Dirigido B1-Matutino (Santo André);
11007015 DB1MCTA008-17SA;Computação Gráfica B1-Matutino (Santo André);
11007015 NA2MCTA037-17SA;Banco de Dados A2-Noturno (Santo André);
11007116 DA1MCTA017-17SA;Programação Matemática A1-Matutino (Santo André);
11007116 DA1NHI2049-13SA;Lógica Básica A1-Matutino (Santo André);
11007216 NA1MCTA002-17SA;Algoritmos e Estruturas de Dados II A1-Noturno (Santo André);
11007216 NA1MCTA017-17SA;Programação Matemática A1-Noturno (Santo André);
11007216 NA1MCZA030-17SA;Vida Artificial na Computação A1-Noturno (Santo André);
11007216 NA1NHI2049-13SA;Lógica Básica A1-Noturno (Santo André);
11007216 NB1MCTA008-17SA;Computação Gráfica B1-Noturno (Santo André);
11007314 NA1MCTA008-17SA;Computação Gráfica A1-Noturno (Santo André);
11007314 NA1MCTA014-15SA;Inteligência Artificial A1-Noturno (Santo André);
11007314 NA1MCTA017-17SA;Programação Matemática A1-Noturno (Santo André);
11007314 NA1NHI2049-13SA;Lógica Básica A1-Noturno (Santo André);
11007516 DB1ESTA017-17SA;Laboratório de Máquinas Elétricas B1-Matutino (Santo André);
11007516 NA1ESTA019-17SA;Projeto Assistido por Computador A1-Noturno (Santo André);
11007516 NA1ESZE090-17SA;Refrigeração e Condicionamento de Ar A1-Noturno (Santo André);
11007516 NA2MCTA037-17SA;Banco de Dados A2-Noturno (Santo André);
11007716 DA1NHI5011-13SA;Políticas Educacionais A1-Matutino (Santo André);
11007716 DA1NHT1056-15SA;Microbiologia A1-Matutino (Santo André);
11007812 DA1ESZI035-17SA;Introdução ao Processamento de Sinais de Voz e Áudio A1-Matutino (Santo André);
11007812 DA1MCZA010-13SA;Laboratório de Engenharia de Software A1-Matutino (Santo André);
11007815 NA1ESTI017-17SA;Fundamentos de Eletromagnetismo Aplicado A1-Noturno (Santo André);
11007815 NA1ESTI019-17SA;Codificação de Sinais Multimídia A1-Noturno (Santo André);
11007815 NA1MCTA004-17SA;Arquitetura de Computadores A1-Noturno (Santo André);
11007816 DA1BCS0002-15SB;Projeto Dirigido A1-Matutino (São Bernardo);
11007816 DA1BHP0202-15SB;Pensamento Crítico A1-Matutino (São Bernardo);
11007816 DA1NHI2049-13SB;Lógica Básica A1-Matutino (São Bernardo);
11007816 DB1BCN0405-15SB;Introdução às Equações Diferenciais Ordinárias B1-Matutino (São Bernardo);
11008114 NA1ESTE028-17SA;Engenharia Nuclear A1-Noturno (Santo André);
11008414 NA1ESTA010-17SA;Sensores e Transdutores A1-Noturno (Santo André);
11008415 NA1BIQ0602-15SA;Estrutura e Dinâmica Social A1-Noturno (Santo André);
11008515 NA1ESHC040-21SB;Relações Monetárias e Financeiras Internacionais A1-Noturno (São Bernardo);
11008515 NA1MCTB011-17SA;Equações Diferenciais Ordinárias A1-Noturno (Santo André);
11008515 Na2ESTS010-17SB;Técnicas de Análise Estrutural e Projeto a2-Noturno (São Bernardo);
11008516 NA1ESTM003-17SA;Tópicos Computacionais em Materiais A1-Noturno (Santo André);
11008516 NA1NHI2049-13SA;Lógica Básica A1-Noturno (Santo André);
11008516 NA1NHT3054-15SA;Teoria da Relatividade A1-Noturno (Santo André);
11008516 NB1MCTA028-15SA;Programação Estruturada B1-Noturno (Santo André);
11008616 DA1ESZS019-17SB;Aerodinâmica II A1-Matutino (São Bernardo);
11008616 NA1ESTA014-17SA;Sistemas CAD/CAM A1-Noturno (Santo André);
11008914 DA1ESZG013-17SB;Empreendedorismo A1-Matutino (São Bernardo);
11008914 NA1MCZB015-13SA;Introdução à Criptografia A1-Noturno (Santo André);
11008916 NA1BCN0402-15SB;Funções de Uma Variável A1-Noturno (São Bernardo);
11008916 NA1BCN0407-15SB;Funções de Várias Variáveis A1-Noturno (São Bernardo);
11009113 NA1MCTA025-13SA;Sistemas Distribuídos A1-Noturno (Santo André);
11009215 DA1ESTE037-17SA;Análise Econômica de Projetos Energéticos A1-Matutino (Santo André);
11009215 DA1ESTG007-17SB;Engenharia Logística A1-Matutino (São Bernardo);
11009215 DA1ESZG013-17SB;Empreendedorismo A1-Matutino (São Bernardo);
11009215 DA1MCTC002-15SB;Introdução à Neurociência A1-Matutino (São Bernardo);
11009215 NA1ESZT018-17SB;Tópicos Especiais em Planejamento Territorial A1-Noturno (São Bernardo);
11009412 DA1ESZI045-17SA;Introdução à Linguística Computacional A1-Matutino (Santo André);
11009412 NA1ESZI017-17SA;Fundamentos de Processamento Gráfico A1-Noturno (Santo André);
11009412 NA1ESZI026-17SA;Engenharia de Sistemas de Comunicação e Missão Crítica A1-Noturno (Santo André);
11009412 NA1MCZA030-17SA;Vida Artificial na Computação A1-Noturno (Santo André);
11009614 NA1MCTB023-17SA;Teoria Aritmética dos Números A1-Noturno (Santo André);
11009614 NA1MCZB015-13SA;Introdução à Criptografia A1-Noturno (Santo André);
11009614 NA1NHZ5020-15SA;Educação inclusiva A1-Noturno (Santo André);
11009714 NA1NHZ6007-18SA;Segurança e Regulamentação em Biotecnologia A1-Noturno (Santo André);
11009716 DA1ESTG006-17SB;Engenharia Laboral A1-Matutino (São Bernardo);
11009716 DA1ESTG011-17SB;Estatística Aplicada a Sistemas de Gestão A1-Matutino (São Bernardo);
11009716 Da1ESTG008-17SB;Gerência de Ativos a1-Matutino (São Bernardo);
11009816 NA1ESTM008-17SA;Materiais Compósitos A1-Noturno (Santo André);
11009816 NA1ESTM009-17SA;Termodinâmica Estatística de Materiais A1-Noturno (Santo André);
11009816 NA1ESTM019-17SA;Propriedades Elétricas, Magnéticas e Ópticas A1-Noturno (Santo André);
11010015;Da1ESTG017-17SB;Introdução aos Processos de Fabricação Metal - Mecânico a1-Matutino (São Bernardo)
11010015;Na1ESTG022-17SB;Sistemas CAM a1-Noturno (São Bernardo)
11010016;NA1ESZM031-17SA;Nanocompósitos A1-Noturno (Santo André)
11010016;NA1ESTM019-17SA;Propriedades Elétricas, Magnéticas e Ópticas A1-Noturno (Santo André)
11010016;DA1ESZM025-17SA;Siderurgia e Engenharia dos Aços A1-Matutino (Santo André)
11010115;DA1NHZ5020-15SA;Educação inclusiva A1-Matutino (Santo André)
11010116;NA1ESTO004-17SA;Instrumentação e Controle A1-Noturno (Santo André)
11010116;NA1ESZM027-17SA;Materiais para Energia e Ambiente A1-Noturno (Santo André)
11010315;DA2MCTA002-17SA;Algoritmos e Estruturas de Dados II A2-Matutino (Santo André)
11010315;DA1MCTA037-17SA;Banco de Dados A1-Matutino (Santo André)
11010315;DA1MCTA014-15SA;Inteligência Artificial A1-Matutino (Santo André)
11010315;DA1MCTA027-17SA;Teoria dos Grafos A1-Matutino (Santo André)
11010315;DA1MCTA004-17SA;Arquitetura de Computadores A1-Matutino (Santo André)
11010316;NA1ESZM027-17SA;Materiais para Energia e Ambiente A1-Noturno (Santo André)
11010316;DA1NHZ5020-15SA;Educação inclusiva A1-Matutino (Santo André)
11010316;DA1NHT1053-15SA;Biologia Celular A1-Matutino (Santo André)
11010316;DA1ESZM021-17SA;Matérias Primas Cerâmicas A1-Matutino (Santo André)
11010316;NB1ESTM003-17SA;Tópicos Computacionais em Materiais B1-Noturno (Santo André)
11010516;NA1ESTG014-17SB;Planejamento e Controle da Produção A1-Noturno (São Bernardo)
11010716;NA1ESZG006-17SB;Pesquisa Operacional Aplicada A1-Noturno (São Bernardo)
11010716;Na1ESTG023-17SB;Organização do Trabalho a1-Noturno (São Bernardo)
11010716;NA1ESZG021-17SB;Negociação e Solução de Conflitos Organizacionais A1-Noturno (São Bernardo)
11010716;NA1ESZG020-17SB;Modelos de Comunicação nas Organizações A1-Noturno (São Bernardo)
11011016;DA1ESZE066-17SA;Química do Petróleo A1-Matutino (Santo André)
11011016;DA1ESTA019-17SA;Projeto Assistido por Computador A1-Matutino (Santo André)
11011016;DB1ESTO017-17SA;Métodos Experimentais em Engenharia B1-Matutino (Santo André)
11011016;DA1ESTA020-17SA;Modelagem e Controle A1-Matutino (Santo André)
11011216;DB1NHT1049-15SA;Trabalho de Conclusão de Curso em Biologia B1-Matutino (Santo André)
11011314;NA1ESZM031-17SA;Nanocompósitos A1-Noturno (Santo André)
11011416;NB1ESHT007-17SB;Estudos do Meio Físico B1-Noturno (São Bernardo)
11011416;NA1MCTB002-13SA;Álgebra Linear Avançada I A1-Noturno (Santo André)
11011416;NA1MCTB007-17SA;Anéis e Corpos A1-Noturno (Santo André)
11011416;NA1ESZI026-17SA;Engenharia de Sistemas de Comunicação e Missão Crítica A1-Noturno (Santo André)
11011616;NA1NHI5001-15SB;Desenvolvimento e Aprendizagem A1-Noturno (São Bernardo)
11011616;NA1ESHC008-21SB;Economia Brasileira II A1-Noturno (São Bernardo)
11011616;NA1NHH2088-16SB;Prática de Ensino de Filosofia: Currículos A1-Noturno (São Bernardo)
11011813;DA1ESTE021-17SA;Termodinâmica Aplicada II A1-Matutino (Santo André)
11011813;DA1ESTA017-17SA;Laboratório de Máquinas Elétricas A1-Matutino (Santo André)
11011813;DA1ESTE027-17SA;Laboratório de Calor e Fluidos A1-Matutino (Santo André)
11011813;DA1ESTE018-17SA;Fundamentos de Sistemas Dinâmicos A1-Matutino (Santo André)
11012014;DA1NHT1064-15SA;Zoologia de Invertebrados II A1-Matutino (Santo André)
11012016;NA1ESZA006-17SA;Teoria de Controle Ótimo A1-Noturno (Santo André)
11012016;NA2ESTO902-17SA;Engenharia Unificada I A2-Noturno (Santo André)
11012016;NA1ESZA018-17SA;Engenharia Óptica e Imagens A1-Noturno (Santo André)
11012211;NB1ESTS015-17SB;Combustão I B1-Noturno (São Bernardo)
11012211;NB1BCS0002-15SB;Projeto Dirigido B1-Noturno (São Bernardo)
11012211;NA1MCTC011-15SB;Psicologia Cognitiva A1-Noturno (São Bernardo)
11012211;NA1ESZS021-17SB;Sistemas de Propulsão II A1-Noturno (São Bernardo)
11012211;NA1ESTI003-17SB;Transformadas em Sinais e Sistemas Lineares A1-Noturno (São Bernardo)
11012215;DA1NHZ5019-15SA;Tecnologias da Informação e Comunicação na Educação A1-Matutino (Santo André)
11012215;NB1MCTB009-17SA;Cálculo Numérico B1-Noturno (Santo André)
11012216;DA1MCTA017-17SA;Programação Matemática A1-Matutino (Santo André)
11012216;DA1MCTB027-13SA;Trabalho de Conclusão de Curso em Matemática III A1-Matutino (Santo André)
11012216;DA1MCTB022-17SA;Sequências e Séries A1-Matutino (Santo André)
11012316;DA4MCTA028-15SA;Programação Estruturada A4-Matutino (Santo André)
11012516;NA1ESTE027-17SA;Laboratório de Calor e Fluidos A1-Noturno (Santo André)
