RA;Código_Turma;Nome_Disciplina
11202021910;NA1ESTO014-17SB;TERMODINÂMICA APLICADA I
11202232376;NB1MCTB019-17SA;MATEMÁTICA DISCRETA
11202322130;NA1MCTA006-17SA;CIRCUITOS DIGITAIS
11202111112;NA1ESTS012-17SB;AEROELASTICIDADE
11202130880;NB1ESTI016-17SA;FUNDAMENTOS DE FOTÔNICA
11202232327;NB2BIN0406-15SA;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11202130906;NA1ESZA019-17SA;VISÃO COMPUTACIONAL
11202021125;NA1ESZB022-17SA;INTRODUÇÃO À BIOINFORMÁTICA
11202130443;NA1NHZ1050-15SA;TOXICOLOGIA
11202421185;DA1BCN0405-15SA;INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
11202321686;DA1BIQ0602-15SA;ESTRUTURA E DINÂMICA SOCIAL
11201812088;NA1ESZU025-17SA;EDUCAÇÃO AMBIENTAL
11202420931;NA1BCN0407-15SA;FUNÇÕES DE VÁRIAS VARIÁVEIS
11201921709;NAMCZC018-20SB;PSICOPATOLOGIA
11201811569;NA1NHBQ007-22SA;FUNDAMENTOS DE QUÍMICA
11202230668;DA2BCS0002-15SA;PROJETO DIRIGIDO
11202130129;NA1NHZ2093-16SA;CORPO, SEXUALIDADE E QUESTÕES DE GÊNERO
11202421626;DA1MCTA006-17SA;CIRCUITOS DIGITAIS
11202420572;NA1BIN0406-15SB;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11202321223;DA1BCS0002-15SB;PROJETO DIRIGIDO
11202320867;NA1ESEC002-24SB;ECONOMIA NAS ESCOLAS
11202021715;NA1ESTB005-17SB;CIÊNCIA DOS MATERIAIS BIOCOMPATÍVEIS
11202111027;DA1ESHC040-21SB;RELAÇÕES MONETÁRIAS E FINANCEIRAS INTERNACIONAIS
11201920263;NA1ESTI006-17SA;PROCESSAMENTO DIGITAL DE SINAIS
11202321796;NA1ESHR024-14SB;HISTÓRIA DA POLÍTICA EXTERNA BRASILEIRA
11202321070;NAESTA018-17SA;ELETROMAGNETISMO APLICADO
11202420422;NA1BHS0012-23SB;TEMAS FILOSÓFICOS EM DEBATE
11201721526;NA1NHZ2093-16SA;CORPO, SEXUALIDADE E QUESTÕES DE GÊNERO
11202322299;DB2ESMA001-23SA;SOLUÇÕES PARA DESAFIOS EM ENGENHARIA
11202131392;DA1ESZG006-17SB;PESQUISA OPERACIONAL APLICADA
11202230301;NC2ESTO017-17SA;MÉTODOS EXPERIMENTAIS EM ENGENHARIA
11202020626;DA1ESAE002-23SA;DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA
11202230970;NA1ESTU038-17SA;TRATAMENTO DE ÁGUAS URBANAS SERVIDAS
11082515;NB1ESTA005-17SA;ANÁLISE DE SISITEMAS DINÂMICOS LINEARES
11082515;NA2BCM0506-15SA;COMUNICAÇÃO E REDES
11202321183;DA1BCN0407-15SA;FUNÇÕES DE VÁRIAS VARIÁVEIS
11202131392;DA2NHZ2093-16SB;CORPO, SEXUALIDADE E QUESTÕES DE GÊNERO
11202421852;DA1ESTO005-17SA;INTRODUÇÃO ÀS ENGENHARIAS
11202321097;DA1NHLQ001-22SA;EXPERIMENTAÇÃO E ENSINO DE QUÍMICA
11202420722;NB4BIL0304-15SA;EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA
11202321818;DB2BCS0002-15SA;PROJETO DIRIGIDO
11202321818;DA1ESMA001-23SA;SOLUÇÕES PARA DESAFIOS EM ENGENHARIA
11201811037;NA2ESMA002-23SB;INOVAÇÕES PARA ENGENHARIA
11201920257;DA1ESZB022-17SA;INTRODUÇÃO À BIOINFORMÁTICA
11202421311;NA2BIN0406-15SB;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11201720388;NA1MCTA025-13SA;SISTEMAS DISTRIBUÍDOS
11202112054;NA3MCTA024-13SA;SISTEMAS DIGITAIS
11202421509;DB2MCTB019-17SA;MATEMÁTICA DISCRETA
11202210048;DA1BCN0407-15SA;FUNÇÕES DE VÁRIAS VARIÁVEIS
11202111917;DA1LCT1001-24SA;ESTÁGIO I NO ENSINO FUNDAMENTAL
11202020104;DA10BIS0005-15SA;BASES COMPUTACIONAIS DA CIÊNCIA
11202320497;NA1ESHT018-17SB;PLANEJAMENTO E POLÍTICA REGIONAL
11202230399;NA1ESTU031-17SA;RECUPERAÇÃO DE ÁREAS DEGRADADAS
11201721526;NA1LCT1001-24SA;ESTÁGIO I NO ENSINO FUNDAMENTAL
11202022027;NA1ESHC018-17SB;FORMAÇÃO ECONÔMICA DO BRASIL
11202231180;NAESHC034-21SB;ECONOMIA DO MEIO AMBIENTE
11201920153;DANHZ2121-18SB;FILOSOFIA DA TECNOLOGIA
11202410082;NA1ESHC024-19SB;MACROECONOMIA III
11202231676;NA1BCN0405-15SB;INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
11202231077;NA1ESTO016-17SB;FENÔMENOS DE TRANSPORTE
11202231077;NA1ESTO017-17SB;MÉTODOS EXPERIMENTAIS EM ENGENHARIA
11202130404;NB1BCN0405-15SA;INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
11202020781;DA1ESZG036-17SB;CONCEITOS DE MARKETING
11202130355;DA2BCN0405-15SA;INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
11201920138;NA1ESAE002-23SA;DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA
11202021282;DA1ESTG024-17SB;SISTEMAS DE INFORMAÇÃO CORPORATIVOS
11202230454;DA1ESZR017-14SB;REGIMES DE NEGOCIAÇÃO AMBIENTAL INTERNACIONAL E A ATUAÇÃO BRASILEIRA
11202432384;DA2BHO0102-15SB;DESENVOLVIMENTO E SUSTENTABILIDADE
11202432384;DA1BHQ0004-19SB;ESTUDOS DE GÊNERO
11202421670;NA1ESHC012-21SB;ECONOMIA INSTITUCIONAL
11201920562;NB8BIS0005-15SA;BASES COMPUTACIONAIS DA CIÊNCIA
11202310070;NA2ESHC037-21SB;ECONOMETRIA III
11202020319;DA1ESZG017-17SB;CLIMA E CULTURA ORGANIZACIONAL
11202422190;DA2BIN0406-15SA;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11202420943;DB2BIN0406-15SA;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11202021537;NA1ESZR033-21SB;RELAÇÕES INTERNACIONAIS E ARTE
11071116;NB1ESTA003-17SA;SISTEMAS DE CONTROLE I
11202020904;NA2ESHC037-21SB;ECONOMETRIA III
11202020931;DA1NHZ1074-15SA;ASTROBIOLOGIA
11202232259;NB1BCS0002-15SA;PROJETO DIRIGIDO
11201922411;NA1ESZR033-21SB;RELAÇÕES INTERNACIONAIS E ARTE
11202130968;NB4BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS
11202422119;DA1NHZ6001-18SA;FUNDAMENTOS DA BIOTECNOLOGIA
11202212408;DA1ESHR029-21SB;ANÁLISE DE POLÍTICA EXTERNA
11202212408;DA1ESHP007-13SB;FEDERALISMO E POLÍTICAS PÚBLICAS
11202321497;NA1ESHC012-21SB;ECONOMIA INSTITUCIONAL
11202510071;NB1NHT5013-22SA;PRÁTICAS DE ENSINO DE CIÊNCIAS E MATEMÁTICA NO ENSINO FUNDAMENTAL
11201921455;NA1ESTU027-17SA;FUNDAMENTOS DE GEOLOGIA PARA ENGENHARIA
21040515;NA1ESTO011-17SB;FUNDAMENTOS DE DESENHO TÉCNICO
11202111187;NA1MCZB015-13SA;INTRODUÇÃO À CRIPTOGRAFIA
11202410086;DB1BHO1102-19SB;INTRODUÇÃO À ECONOMIA
11202020502;NA1NHBB001-23SA;ZOOLOGIA: ORIGEM E DIVERSIFICAÇÃO DE METAZOA
11201920827;DA1ESTG024-17SB;SISTEMAS DE INFORMAÇÃO CORPORATIVOS
11202130104;DB1BCN0405-15SA;INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
11202420221;NB4BIS0003-15SA;BASES MATEMÁTICAS
